189.5497	-9.1000	24.0000	-11.7000	13.3000	13.7000	-18.9000	13.7000	15.6000	11.2000	4.4000	-11.5000	3.1000	-7.2000	2.0000	5.3000	33.0000	0.3000	-12.3000	-13.2000	18.0000	5.6000	-4.9000	-5.5000	-15.0000	
189.8903	5.0750	8.8750	-4.7000	-2.6250	-20.5250	-5.7250	-1.1500	-3.8000	0.4750	2.1500	-2.0250	9.0750	-16.2500	-5.0500	-1.5250	32.0750	-1.4000	-13.0750	-16.7750	-0.1250	-10.4000	-2.5500	-11.4250	-24.7750	
190.2309	29.9250	25.9000	20.6250	26.0250	-0.5500	24.3750	15.7500	42511.0000	26.9750	24.6500	35.9250	34.0750	11.6250	21.1250	16.7750	65.2250	24.8500	12.8750	6.7750	26.6000	16.2250	24.7250	18.4250	5.6750	
190.5715	41.3250	37.6500	37.0000	53.9250	24.4250	39.2500	29.1750	44.7750	37.1500	44.2750	50.9500	47.1000	36.9500	36.6250	26.1000	91.2250	41.9750	30.0750	26.3000	52.0000	30.3750	41.6000	37.4750	25.9750	
190.9121	21.5250	17.6250	11.9250	36.3750	11.4000	18.9500	8.6500	29.8250	9.8000	22.8000	24.1000	19.6000	14.6500	21.8750	3.6750	74.8500	14.6250	6.8250	13.5500	34.9250	27576.0000	23.2500	17.5500	1.7750	
191.2527	9.4750	3.8250	-5.5500	20.6750	-5.3000	-7.3750	-9.5750	42497.0000	-2.5750	3.1000	5.9000	-3.4250	-2.1250	4.6250	-8.6750	56.6250	-16.1250	-13.8000	6.2250	18.0750	3.0500	-1.6750	2.2000	-16.3500	
191.5932	12.6750	6.2750	-1.2750	19.2000	-9.3000	-12.8500	-9.9250	4.2750	-0.3750	5.2250	5.1250	-5.4000	7.1750	-9.3000	-2.5000	54.8250	-17.3750	-16.9750	6.1500	17.8750	12.1000	-11.8750	-5.9000	-11.3750	
191.9338	13.7250	3.2250	2.3000	8.2000	-8.3750	-0.7750	-1.6750	7.7000	-2.1250	4.1000	0.8250	-4.3500	2.9000	-9.8000	-6.0250	52.3750	-10.2500	-17.1000	4.2000	16.5750	9.9500	-13.6000	-13.9250	-12.0250	
192.2743	12.4750	-2.0000	-0.6250	3.8750	3.2250	0.6750	-5.4750	-0.5000	-2.2750	2.6000	-2.4250	-3.5750	-8.1500	-5.8250	-11.1500	51.5750	-10.4500	-19.7000	4.4750	7.0250	0.4750	-14.3250	-8.0750	-16.5500	
192.6148	7.9250	6.0750	-6.3000	17.5250	12.5250	-10.4250	-17.3750	-12.2000	-2.4500	4.9750	-3.6500	-1.2750	-7.6250	-2.8500	-3.2000	52.7000	-8.3250	-19.7500	-3.8250	1.9250	-7.9000	-12.3750	1.1500	-7.4250	
